iter	Passed	Remaining
402	14702	3538
403	14739	3502
404	14777	3466
405	14813	3429
406	14851	3393
407	14886	3356
408	14921	3319
409	14958	3283
410	14997	3247
411	15035	3211
412	15073	3175
413	15111	3139
414	15150	3103
415	15187	3066
416	15224	3030
417	15273	2996
418	15311	2959
419	15346	2923
420	15384	2886
421	15421	2850
422	15458	2813
423	15494	2777
424	15529	2740
425	15564	2703
426	15598	2666
427	15634	2630
428	15669	2593
429	15703	2556
430	15740	2519
431	15775	2483
432	15809	2446
433	15844	2409
434	15879	2372
435	15914	2336
436	15948	2299
437	15984	2262
438	16018	2225
439	16053	2189
440	16087	2152
441	16123	2115
442	16160	2079
443	16194	2042
444	16227	2005
445	16262	1969
446	16296	1932
447	16332	1895
448	16368	1859
449	16405	1822
450	16446	1786
451	16483	1750
452	16519	1713
453	16554	1677
454	16589	1640
455	16624	1604
456	16659	1567
457	16695	1530
458	16731	1494
459	16770	1458
460	16807	1421
461	16843	1385
462	16882	1349
463	16919	1312
464	16955	1276
465	16995	1239
466	17031	1203
467	17069	1167
468	17107	1130
469	17145	1094
470	17184	1058
471	17228	1022
472	17272	985
473	17309	949
474	17344	912
475	17381	876
476	17417	839
477	17452	803
478	17486	766
479	17522	730
480	17560	693
481	17595	657
482	17629	620
483	17665	583
484	17705	547
485	17740	511
486	17777	474
487	17815	438
488	17852	401
489	17888	365
490	17924	328
491	17959	292
492	17993	255
493	18029	218
494	18065	182
495	18100	145
496	18137	109
497	18173	72
498	18209	36
499	18244	0
