iter	MultiClass
181	0.1540563983
182	0.153511919
183	0.1528328359
184	0.1522807999
185	0.1514072042
186	0.1509552001
187	0.1503171165
188	0.1493596975
189	0.1487200861
190	0.1483418633
191	0.1477088835
192	0.1468765381
193	0.1466222715
194	0.1457722197
195	0.1453770906
196	0.1445171348
197	0.1439737611
198	0.1431389124
199	0.1428363867
200	0.1423922364
201	0.1413375764
202	0.141165533
203	0.1406175844
204	0.1395689986
205	0.1390735074
206	0.1379252893
207	0.1377058041
208	0.1372808884
209	0.1370835948
210	0.136969724
211	0.1364366198
212	0.135521978
213	0.1342730237
214	0.1338350097
215	0.1335442328
216	0.1329618046
217	0.132750074
218	0.1321429544
219	0.1312832905
220	0.1306199888
221	0.1302751932
222	0.1292185122
223	0.1287988688
224	0.1284531001
225	0.1279561272
226	0.1272002606
227	0.1268487429
228	0.1264798346
229	0.1259912072
230	0.1255079267
231	0.1247300584
232	0.1239632394
233	0.1232138992
234	0.1228398134
235	0.1226701965
236	0.1221703212
237	0.1214469146
238	0.1208494445
239	0.1203775247
240	0.120126326
241	0.1198227433
242	0.1195945841
243	0.119221348
244	0.1188645191
245	0.1182805732
246	0.1178024549
247	0.1173701138
248	0.1172906306
249	0.1170357691
250	0.1164156557
251	0.115949516
252	0.1156391312
253	0.1152252087
254	0.1150735463
255	0.1149901222
256	0.1147318327
257	0.1140694464
258	0.1135833074
259	0.112932064
260	0.1125116567
261	0.1123674528
262	0.1115012537
263	0.1110378751
264	0.1103873844
265	0.1098708389
266	0.1092487816
267	0.1089704273
268	0.1085037136
269	0.1080628453
270	0.1077935806
271	0.107524226
272	0.1071526293
273	0.1066791783
274	0.1066180349
275	0.1061823324
276	0.105998019
277	0.1056692024
278	0.1054945
279	0.1050814099
280	0.104455248
281	0.1036311803
282	0.1033168469
283	0.1029385562
284	0.1024023849
285	0.1020485711
286	0.1017395033
287	0.1014775771
288	0.1008470586
289	0.100540978
290	0.09989044422
291	0.09978593695
292	0.09925370525
293	0.09891369457
294	0.09849469693
295	0.0982499358
296	0.09800760316
297	0.09755038159
298	0.09714455006
299	0.09668986984
300	0.0964539041
301	0.09603111284
302	0.09546354065
303	0.09502064456
304	0.09457853261
305	0.09431511228
306	0.09389121778
307	0.09365640531
308	0.09360061696
309	0.09324370676
310	0.09298593495
311	0.09247697964
312	0.09201022533
313	0.09167716381
314	0.09114157514
315	0.09094437686
316	0.09055046865
317	0.09034218893
318	0.08974702339
319	0.08950318117
320	0.08928336944
321	0.08914595434
322	0.08864560081
323	0.08824046079
324	0.08801183203
325	0.08783891105
326	0.08756292463
327	0.08733819046
328	0.0869070757
329	0.08660545947
330	0.08635951447
331	0.08604948175
332	0.08584397743
333	0.08547923842
334	0.08511638073
335	0.08483040056
336	0.08435496255
337	0.08418493907
338	0.0840199737
339	0.08365327264
340	0.08330976652
341	0.08299160507
342	0.08241914399
343	0.08203265091
344	0.08180368695
345	0.08140332677
346	0.08127027316
347	0.08092237797
348	0.08047259961
349	0.08022022685
350	0.08007144111
351	0.0797710927
352	0.07948780796
353	0.07908670477
354	0.07880842401
355	0.07865958173
356	0.07844198621
357	0.07800847056
358	0.07776278953
359	0.07756980311
360	0.07750894596
361	0.07732203213
362	0.07717493527
363	0.07699553261
364	0.0765612211
365	0.07638536175
366	0.07601812036
367	0.07578270254
368	0.0756764516
369	0.07556122674
370	0.07540887895
371	0.07503160778
372	0.07477120661
373	0.07465434127
374	0.07448942325
375	0.07432509535
376	0.07412065021
377	0.07378840459
378	0.07352777799
379	0.07324587127
380	0.07303631982
381	0.07276783297
382	0.07263898899
383	0.07247704893
384	0.07229557468
385	0.07199014951
386	0.0717483374
387	0.07132495678
388	0.07122049587
389	0.07099648443
390	0.07095560772
391	0.07066672939
392	0.07040202644
393	0.07026984877
394	0.0700377843
395	0.06979054586
396	0.06961287677
397	0.06953689797
398	0.06951845981
399	0.06923960322
400	0.06913799967
401	0.06907887378
402	0.06891236951
403	0.06843286309
404	0.06807720413
405	0.06784060213
406	0.06765089288
407	0.06742695564
408	0.06715591281
409	0.06676531147
410	0.06658182563
411	0.0664798072
412	0.06635479602
413	0.06613101827
414	0.06596811375
415	0.06576140205
416	0.06566301598
417	0.06539489131
418	0.06515637981
419	0.06509602364
420	0.0650003901
421	0.06478991568
422	0.06447181061
423	0.06419743068
424	0.06401512342
425	0.06388828084
426	0.06366277483
427	0.06350177869
428	0.06334840301
429	0.06323180571
430	0.06307039534
431	0.06280949831
432	0.0627082404
433	0.06234984853
434	0.06216863075
435	0.06192644592
436	0.0618149461
437	0.06153001333
438	0.06147247015
439	0.06129905138
440	0.0611645573
441	0.06098428666
442	0.06079124358
443	0.06062073578
444	0.06060540454
445	0.06052369327
446	0.06043831318
447	0.06027455371
448	0.06014079959
449	0.06006138406
450	0.05993637999
451	0.05984418317
452	0.05972431266
453	0.05965136857
454	0.05951890664
455	0.05938634556
456	0.0591366036
457	0.05908203805
458	0.05899871906
459	0.05878337235
460	0.05855739969
461	0.05833526635
462	0.05818830283
463	0.0579889258
464	0.05777159787
465	0.05756420809
466	0.05747545587
467	0.05741458018
468	0.05734792634
469	0.05711717682
470	0.05696846114
471	0.05674237838
472	0.05656306229
473	0.05645281221
474	0.05636493463
475	0.0561556164
476	0.05607698468
477	0.05591825785
478	0.05581383444
479	0.05568098245
480	0.05557989418
481	0.05552132871
482	0.05527089861
483	0.05507977605
484	0.05483820959
485	0.05470177095
486	0.05454804906
487	0.05445313707
488	0.05436446211
489	0.05412836785
490	0.05403042563
491	0.05397120749
492	0.0537838371
493	0.05359993066
494	0.05341382133
495	0.05322953979
496	0.0531444215
497	0.05296922721
498	0.05287481541
499	0.05285163237
